time,Temperature (°C),Pressure (Pa)
2018-02-21 22:05:21.940,21.44,102359.92
2018-02-21 22:05:21.944,21.44,102365.27
2018-02-21 22:05:21.945,21.44,102362.6
2018-02-21 22:05:21.948,21.44,102362.6
2018-02-21 22:05:21.952,21.44,102362.6
2018-02-21 22:05:21.956,21.43,102364.49
2018-02-21 22:05:21.960,21.44,102362.6
2018-02-21 22:05:21.964,21.44,102362.6
2018-02-21 22:05:21.968,21.44,102367.94
2018-02-21 22:05:21.973,21.44,102362.6
2018-02-21 22:05:21.976,21.44,102362.6
2018-02-21 22:05:21.981,21.44,102362.6
2018-02-21 22:05:21.981,21.45,102358.75
2018-02-21 22:05:21.985,21.44,102362.6
2018-02-21 22:05:21.989,21.44,102362.6
2018-02-21 22:05:21.993,21.45,102356.08
2018-02-21 22:05:21.997,21.44,102359.92
2018-02-21 22:05:22.001,21.44,102359.92
2018-02-21 22:05:22.005,21.44,102362.6
2018-02-21 22:05:22.009,21.44,102359.92
2018-02-21 22:05:22.013,21.44,102357.26
2018-02-21 22:05:22.017,21.44,102357.26
2018-02-21 22:05:22.019,21.44,102365.27
2018-02-21 22:05:22.022,21.44,102362.6
2018-02-21 22:05:22.026,21.44,102362.6
2018-02-21 22:05:22.030,21.44,102359.92
2018-02-21 22:05:22.034,21.44,102357.26
2018-02-21 22:05:22.038,21.44,102357.26
2018-02-21 22:05:22.042,21.44,102357.26
2018-02-21 22:05:22.046,21.44,102359.92
2018-02-21 22:05:22.050,21.45,102364.08
2018-02-21 22:05:22.054,21.45,102364.08
2018-02-21 22:05:22.056,21.44,102362.6
2018-02-21 22:05:22.059,21.44,102363.38
2018-02-21 22:05:22.062,21.44,102360.71
2018-02-21 22:05:22.067,21.44,102360.71
2018-02-21 22:05:22.071,21.44,102362.6
2018-02-21 22:05:22.075,21.44,102365.27
2018-02-21 22:05:22.078,21.44,102365.27
2018-02-21 22:05:22.083,21.44,102362.6
2018-02-21 22:05:22.087,21.45,102361.42
2018-02-21 22:05:22.091,21.45,102361.42
2018-02-21 22:05:22.092,21.45,102361.42
2018-02-21 22:05:22.095,21.44,102357.26
2018-02-21 22:05:22.099,21.44,102362.6
2018-02-21 22:05:22.103,21.44,102362.6
2018-02-21 22:05:22.107,21.44,102362.6
2018-02-21 22:05:22.111,21.44,102362.6
2018-02-21 22:05:22.116,21.44,102359.92
2018-02-21 22:05:22.120,21.44,102359.92
2018-02-21 22:05:22.123,21.44,102359.92
2018-02-21 22:05:22.128,21.44,102367.94
2018-02-21 22:05:22.129,21.44,102357.26
2018-02-21 22:05:22.132,21.44,102357.26
2018-02-21 22:05:22.136,21.45,102361.42
2018-02-21 22:05:22.140,21.44,102362.6
2018-02-21 22:05:22.145,21.44,102362.6
2018-02-21 22:05:22.148,21.45,102364.08
2018-02-21 22:05:22.153,21.44,102363.38
2018-02-21 22:05:22.156,21.44,102357.26
2018-02-21 22:05:22.161,21.44,102357.26
2018-02-21 22:05:22.165,21.44,102362.6
2018-02-21 22:05:22.169,21.45,102358.75
2018-02-21 22:05:22.170,21.45,102358.75
2018-02-21 22:05:22.173,21.45,102358.75
2018-02-21 22:05:22.177,21.44,102359.92
2018-02-21 22:05:22.181,21.44,102354.6
2018-02-21 22:05:22.185,21.44,102354.6
2018-02-21 22:05:22.189,21.45,102361.42
